frontpage_url,frontpage_name
https://arbejderen.dk/,Arbejderen
https://stiften.dk/,Århus Stiftstidende
https://www.bt.dk/,B.T.
https://www.b.dk/,Berlingske
https://www.berlingske.dk/,Berlingske
https://www.business.dk/,Berlingske – business
https://www.berlingske.dk/business,Berlingske – business
http://tidende.dk/,Bornholms tidende
https://borsen.dk/,Børsen
https://www.computerworld.dk/,Computerworld
http://cphpost.dk/,CPH Post
https://dagbladet-holstebro-struer.dk/,Dagbladet Holstebro Struer
https://dbrs.dk/,Dagbladet Ringkøbing Skjern
https://dk4.dk/,dk4
https://www.dk4.dk/,dk4
https://www.dr.dk/,DR
https://effektivtlandbrug.landbrugnet.dk/,Effektivt Landburg
http://effektivtlandbrug.landbrugnet.dk/,Effektivt Landburg
https://ekstrabladet.dk/,Ekstrabladet
https://finans.dk/,Finans
https://www.fyens.dk/,Fyens Stiftstidende
https://www.information.dk/,Information
https://ing.dk/,Ingeniøren
https://journalisten.dk/,Journalisten
https://www.jv.dk/,JydskeVestkysten
https://jyllands-posten.dk/,Jyllands-posten
https://landbrugsavisen.dk/,Landbrugsavisen
https://www.mm.dk/,Mandag Morgen
https://newz.dk/,Newz
https://nordjyske.dk/,Nordjyske
https://penge.dk/,Penge & Privatøkonomi
https://politiken.dk/,Politiken
https://amtsavisen.dk/,Randers amtsavis
https://shippingwatch.dk/,Shippingwatch
https://sn.dk/,Sjællands Nyheder
https://www.skivefolkeblad.dk/,Skive folkeblad
https://www.sondagsavisen.dk/,Søndagsavisen
https://standby.dk/,standby.dk
https://www.thelocal.dk/,The Local dk
https://www.tipsbladet.dk/,Tipsbladet
https://www.tveast.dk/,TV Øst
https://www.tvsyd.dk/,TV Syd
http://tv2.dk/,TV2
http://tv2bornholm.dk/,TV2 Bornholm
https://www.tv2fyn.dk/,TV2 Fyn
https://www.tv2lorry.dk/,TV2 Lorry
https://www.tv2nord.dk/,TV2 Nord
http://nyheder.tv2.dk/,TV2 Nyheder
https://www.tv2ostjylland.dk/,TV2 Østjylland
http://underholdning.tv2.dk/,TV2 Underholdning
https://www.version2.dk/,Version2
https://viborg-folkeblad.dk/,Viborg Stifts Folkeblad
https://www.weekendavisen.dk/,Weekendavisen
